Type,Contract,Price,Quantity,PnL,Remaining
BUY,May 3%,59.05,1,0.00,May 3% 1 @ 59.05
BUY,May 3%,59.20,1,0.00,May 3% 1 @ 59.2
SELL,May 3%,60.85,1,1.80,Matched 1 @ 59.05
SELL,May 3%,60.85,1,1.65,Matched 1 @ 59.2
BUY,June 3%,59.20,2,0.00,June 3% 2 @ 59.2
BUY,June 3%,60.70,2,0.00,June 3% 2 @ 60.7
BUY,June 3%,60.35,2,0.00,June 3% 2 @ 60.35
BUY,June 3%,59.85,2,0.00,June 3% 2 @ 59.85
BUY,June 3%,60.25,2,0.00,June 3% 2 @ 60.25
BUY,June 3%,60.40,4,0.00,June 3% 4 @ 60.4
BUY,June 3%,60.30,3,0.00,June 3% 3 @ 60.3
SELL,June 3%,60.15,2,1.90,Matched 2 @ 59.2
SELL,June 3%,60.15,1,-0.55,Matched 1 @ 60.7
SELL,June 3%,59.75,1,-0.95,Matched 1 @ 60.7
SELL,June 3%,59.75,1,-0.60,Matched 1 @ 60.35
SELL,June 3%,59.60,1,-0.75,Matched 1 @ 60.35
SELL,June 3%,59.60,2,-0.50,Matched 2 @ 59.85
SELL,June 3%,59.30,2,-1.90,Matched 2 @ 60.25
SELL,June 3%,59.30,1,-1.10,Matched 1 @ 60.4
SELL,June 3%,60.25,3,-0.45,Matched 3 @ 60.4
SELL,June 3%,58.70,2,-3.20,Matched 2 @ 60.3
SELL,June 3%,58.50,1,-1.80,Matched 1 @ 60.3
