type,contract,price,quantity,pnl,match_price
BUY,May 3%,59.05,1.0,0.0,
BUY,May 3%,59.2,1.0,0.0,
SELL,May 3%,60.85,1.0,1.8000000000000043,59.05
SELL,May 3%,60.85,1.0,1.6499999999999986,59.2
BUY,June 3%,59.2,2.0,0.0,
BUY,June 3%,60.7,2.0,0.0,
BUY,June 3%,60.35,2.0,0.0,
BUY,June 3%,59.85,2.0,0.0,
BUY,June 3%,60.25,2.0,0.0,
BUY,June 3%,60.4,4.0,0.0,
BUY,June 3%,60.3,3.0,0.0,
SELL,June 3%,60.15,2.0,1.8999999999999915,59.2
SELL,June 3%,60.15,1.0,-0.5500000000000043,60.7
SELL,June 3%,59.75,1.0,-0.9500000000000028,60.7
SELL,June 3%,59.75,1.0,-0.6000000000000014,60.35
SELL,June 3%,59.6,1.0,-0.75,60.35
SELL,June 3%,59.6,2.0,-0.5,59.85
SELL,June 3%,59.3,2.0,-1.9000000000000057,60.25
SELL,June 3%,59.3,1.0,-1.1000000000000014,60.4
SELL,June 3%,60.25,3.0,-0.44999999999999574,60.4
SELL,June 3%,58.7,2.0,-3.1999999999999886,60.3
SELL,June 3%,58.5,1.0,-1.7999999999999972,60.3
